galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.bulge.profile_list.39.centre.centre_0,galaxies.lens.bulge.profile_list.39.centre.centre_1,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_1,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
            -0.0005117325794698686,            -0.0001252684630788151,                1.5974033882510716,                     0.04604718854469997,                   -0.012242829328591026,       0.044613714804960236,       0.046633125696007215,                              0.0013729368242284268,                             0.00034478566601259253,                                      0.05466221734378517,                                    0.0050522913902108935,                0.0005363041015982923,               -0.0009351779568169853,                        0.07063367990722702,                       -0.05229368368919923,              2.767411199731836,                   0.09709911406330113,                1.1186834692225731,   5352.3587078317,1.2651299922858528, 5353.623837823985,1.7637087050374891e-10
           -0.00025657648716616364,             0.0015237695298779897,                1.6011556956169664,                     0.05095461059665967,                   -0.012596174784598138,        0.04333193493990226,        0.04902418232573928,                            -0.00011114209536747244,                             -0.0005285046081019706,                                       0.0534216708481364,                                     0.004079814725058763,               -6.534849040583367e-05,                0.0018045232268700069,                        0.08394296847334101,                      -0.040849955206024025,             2.8080499721631464,                   0.08933228689991658,                1.3071806823027123, 5352.879164090358,1.2619710687293468, 5354.141135159088,2.9679606567597887e-10
             -0.001162542491375227,              0.001242593647189623,                1.5995325201821982,                    0.052110411359518716,                   -0.009952795389086222,        0.04549773834317269,        0.04976044335936153,                              0.0005477321825492487,                              0.0023263315601576434,                                      0.05833795799108306,                                     0.003239260415238436,                0.0007461075998380609,                 0.001488692638119171,                         0.0655953996184549,                       -0.04090895010969539,             2.6932451524518406,                   0.09812393479355301,                1.3151388972085147, 5352.364487722203,1.2481780020894733, 5353.612665724293,1.7739322653006846e-10
              0.000633764792224961,                0.0024109298179907,                1.5996653895375608,                      0.0530950763991948,                   0.0036209538649707163,       0.051922924571123234,       0.050588569336924634,                              0.0007214618412182683,                             -0.0013228104470471708,                                     0.057819396361786436,                                     0.005343684593572117,                0.0012728250835439513,                 0.001532595908759888,                        0.08558693164161704,                       -0.06357181579991095,             2.8208135992788175,                   0.08866889423754035,                1.5542237839674276, 5352.260962546926,1.2505001728191174, 5353.511462719745,1.5994719219336428e-10
             -0.002147722502661231,            -0.0018039586591958306,                1.5969290802172316,                    0.054804013973626435,                   0.0032446578605540843,        0.05075422170886018,         0.0504921191129832,                             -0.0006721207980646821,                             -0.0006706989027220472,                                       0.0562418558433709,                                    0.0021181338837410624,               -0.0011121082482746316,               -0.0011203445845990145,                        0.05809026023474875,                      -0.050515893872709855,             2.7445206166949787,                    0.0925807391539239,                 1.705236461807845, 5352.029401171303,1.2195819726171462, 5353.248983143921,1.2688514869883207e-10
            -0.0015370085954924631,            -0.0009401173164337543,                1.5997274252839233,                     0.05691882690713018,                   -0.003177775521542525,        0.04725681092152261,        0.05202323662374698,                              9.807877077698535e-05,                              0.0005862789726550355,                                     0.049247673660303574,                                      0.00461628693453029,                0.0016269174522806238,                0.0006821667924108227,                        0.09373223544614849,                      -0.056435309621591934,             2.7452281134450316,                   0.09237386092849688,                1.4866734857951784, 5353.358145908708,1.2839228678960062, 5354.642068776604, 4.791564076950919e-10
            -0.0003071975719227657,             0.0017674293169461426,                1.6007556828393867,                     0.05676471636451424,                    0.002970915937827931,        0.05022578673138867,         0.0521451200581684,                              0.0012322684109518506,                             -0.0004185209808291457,                                      0.05244191055922736,                                    0.0005508844428663345,              -0.00047752576724554533,                0.0016747345923603598,                        0.05972508819463431,                        -0.0338912048259459,              2.761868528253468,                    0.0903984492676337,                1.3901908456086742,  5352.60994927198,1.1976764293295408,  5353.80762570131,2.2674599744968224e-10
            -0.0005666632925423195,              0.001042467702259476,                1.6008448903714154,                    0.054546548366121675,                   -0.009733573036259949,         0.0446006278426844,       0.051977872602114165,                            -2.9436237825003486e-05,                             -0.0011644819206352713,                                      0.05600192172980545,                                   -0.0023210285046530365,               -0.0006462868678577626,                0.0024652487497584573,                         0.0632086282285336,                       -0.04225000340610602,             2.7405707599471683,                    0.0975803569502471,                1.5559887062346238,  5353.33172970039,1.2487621231423036, 5354.580491823532, 4.666646313010656e-10
            -4.702752136125749e-05,             0.0030152979733581524,                1.6012052068054938,                     0.05521414107569794,                    0.003011689448885649,        0.05084051208618476,       0.051019206080475145,                              8.884785378535098e-05,                             -0.0015691894650406296,                                      0.05479233374250753,                                    9.733211677670943e-05,                0.0006684178435835491,                0.0016753428390017602,                         0.0895997556615128,                       -0.04077913583154588,             2.8404018393224053,                   0.08930900401866149,                1.8313983070789999, 5353.260381156986, 1.219896582382511, 5354.480277739369,4.3452884190235897e-10
              0.000489426705394359,            0.00044441564144247886,                 1.600307944295926,                     0.04923619007871798,                   -0.005591138350181393,       0.048274215082579695,       0.048043765944834046,                              0.0008173808877549593,                             -0.0016259499498404995,                                      0.04774754079658449,                                    0.0006607780987320845,                0.0014191869821432426,                0.0008148296913741669,                        0.07760562091804124,                       -0.04650483776473177,             2.7556109822424983,                    0.0901029614613931,                 0.998236142725133, 5352.773640726669, 1.245968461998899, 5354.019609188668,2.6707296326064593e-10
            -0.0019199858170342846,             -0.001023529737139238,                1.6004537108360581,                     0.05981293281491234,                  -0.0059130232656276205,        0.04707690167037559,       0.054193187603608535,                             -0.0007642529068770526,                              0.0004408760797734168,                                      0.05281919593869886,                                    -0.004357019831827994,               -0.0016189493088851923,               -0.0006229025482902652,                        0.07591465964778951,                      -0.056845556813602816,             2.7876744618528737,                   0.08910385432589744,                 1.197711905649857, 5352.798547333643,1.2748513534034507, 5354.073398687046,2.7380837452752395e-10
            -0.0020245358798805487,             0.0036569544817728356,                1.6007277504903472,                      0.0577781785758025,                  -0.0018839736893676157,        0.04831104078518273,        0.05348924655266203,                              -0.000468042451268913,                             -0.0012084531930274395,                                      0.05428955492715892,                                    -0.004208287269554711,               -0.0005891883986176658,                0.0017519372396804034,                        0.07770943748976762,                        -0.0400120804442837,              2.719815488713665,                    0.0938989132330357,                1.6306337368571355, 5352.013943278911,1.2435952578636378,5353.2575385367745,1.2493885329145302e-10
              0.001107856364394062,               0.00378469681477695,                1.6007255655834312,                     0.05918043464903418,                  -0.0023025021549713393,       0.049392105553486186,        0.05439736089078662,                             -0.0011413600965300558,                             -0.0003734461168791309,                                      0.05557736480853388,                                     0.003224397471510618,                0.0011884224734626048,                0.0023759428809611255,                        0.06828509644462209,                      -0.041523045559338334,             2.7360725316967134,                   0.10018890332635996,                1.4594561961141383, 5352.319251852619,1.2392365744900184, 5353.558488427109,1.6954748204624912e-10
           -0.00022087646745021748,            -0.0022803467912218605,                1.6014066226661443,                    0.054995067298857114,                 -0.00028196944471470253,        0.04780672521414253,        0.05103502052688119,                               6.26047657064921e-05,                               0.000773364541337182,                                     0.055474032974614715,                                    0.0010853208636740492,                0.0006302907619645578,               -0.0009150357096997065,                        0.07003231947959537,                       -0.04489150625141622,             2.7558447325221906,                   0.08569777803476832,                1.5003328217227807, 5352.190014660802,1.2272252830964818,5353.4172399438985,1.4899247865422978e-10
             0.0005686818709348993,             0.0009041551158850402,                1.5972444239091432,                     0.05321552161244785,                  -0.0023255026339037144,        0.04855884466225273,        0.05067683961658742,                               0.001293856548574862,                             -0.0014114906916315728,                                     0.049906490237321834,                                    0.0028845420896740632,                0.0006586584564947447,                0.0015648735717926745,                        0.06369599058731959,                       -0.07135171699417459,             2.7944202899703336,                   0.09188617740340232,                   1.4012288859858, 5352.270501069753,1.2685764404132067, 5353.539077510166,1.6148015159853495e-10
            -0.0018125356031675527,             0.0003526872993874103,                  1.59670738992536,                     0.04912079263610642,                    0.003439643902570705,       0.051690871156242935,        0.04784155257555346,                             -0.0008452326133430998,                              0.0012459419520396836,                                      0.05530798310942215,                                  -1.3239957268765885e-05,              -0.00011039437057326859,                0.0011385232792882338,                        0.08565433864803802,                       -0.05914732846944257,              2.772204667242435,                   0.09372333472697422,                 1.636152045867413, 5352.698419356414, 1.245944983995281, 5353.944364340409,2.4772035805042246e-10
