galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.bulge.profile_list.39.centre.centre_0,galaxies.lens.bulge.profile_list.39.centre.centre_1,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_0,galaxies.lens.bulge.profile_list.39.ell_comps.ell_comps_1,galaxies.source.bulge.profile_list.39.centre.centre_0,galaxies.source.bulge.profile_list.39.centre.centre_1,galaxies.source.bulge.profile_list.39.ell_comps.ell_comps_0,galaxies.source.bulge.profile_list.39.ell_comps.ell_comps_1,    log_likelihood,         log_prior,     log_posterior,                weight
             -0.002434664623871314,             0.0011819213730576584,                1.5997221393712584,                    0.051835376874288935,                   -0.008451263489077585,        0.04509773391695057,        0.05011362573274309,                              0.0030429748604457324,                             -0.0006380079633418745,                                      0.05199189598068996,                                    -0.005118171794766134,                               -0.0022083481709682306,                                0.0012593584948430356,                                        0.08410198631640266,                                       -0.03388076031081015, 5360.303648434982,1.2696525894499007, 5361.573301024432,1.7010387536039117e-10
             -0.002679825961150649,              0.004428157528237013,                1.6007222573844544,                     0.05555227229488241,                   -0.012830511061510147,        0.04404169966872641,       0.053305840859601696,                             -0.0008980472519238003,                              5.896736234556332e-05,                                     0.056791598635590954,                                     0.005000767219085269,                               -0.0019818563823292513,                                0.0032137293034645276,                                        0.07703091950373189,                                       -0.03919703592346959, 5360.353236111136,1.2964458433196229, 5361.649681954455,1.7875156881652896e-10
             0.0010468564861723193,           -0.00018760643848864675,                 1.600731831933956,                     0.04663794995992664,                    -0.00948335452863154,        0.04709341008252202,       0.046907981122001105,                             -0.0022220800932865603,                             -0.0016716997707940245,                                      0.05701671961710074,                                    0.0004548254980567256,                                0.0016534396233227986,                              -0.00016865386610265745,                                          0.078832927162944,                                       -0.03860635297721252, 5360.617992518901,1.2635679232748507, 5361.881560442175, 2.329335840407655e-10
            -0.0020691175506275623,            -0.0024767925750301075,                 1.601331624191595,                     0.06011663476977833,                   -0.014627158834236667,        0.04381830928904214,       0.054819864473450004,                              -0.000370267241131525,                              0.0012866985101980533,                                     0.056129554121617915,                                    0.0015893537007714278,                               -0.0014849935539893026,                                -0.000805382491709182,                                        0.07468957433363825,                                       -0.03571427607508271,  5360.34998178952,1.3117813936361675, 5361.661763183156, 1.781707992403379e-10
             0.0023639966447457964,              0.002023469566916791,                1.5993289641635384,                    0.053071572234866395,                   -0.016531091190442937,       0.044247089782074055,         0.0519412660613347,                             -4.817663812103912e-05,                             -0.0019120751557597099,                                     0.051909243131273666,                                     -0.00506116111632355,                                0.0024415182963396414,                               0.00019216465029642165,                                        0.06165424196486269,                                       -0.03912022868131104, 5360.123061262829,1.3131325814245463,5361.4361938442535,1.4199929741746384e-10
            -0.0012200181608697383,            0.00014022297984592015,                 1.600246290579394,                     0.06059803236843944,                   -0.015797860663844518,        0.04548340323386418,        0.05543039833296429,                                0.00066405562679972,                             -0.0009423200923776298,                                     0.053852405894097836,                                   -0.0028396191171124285,                                 0.000597291122310628,                                0.0003733500274469426,                                       0.054396833931983635,                                      -0.043993817612651046, 5360.031753855204,1.3240211487838978, 5361.355775003988,1.2960802485781427e-10
            -0.0004849147052178542,             0.0007319568620615311,                1.5975087178416023,                    0.051279031575136774,                   -0.003129237027396578,       0.049456333924674016,        0.04990555732217599,                             -0.0014058499176776429,                             -0.0013546728134155722,                                      0.05304955586808292,                                     0.006779247636378125,                               -0.0005236113693499665,                               -0.0008113848540159766,                                        0.06766963863061666,                                       -0.05500003826062635, 5360.251497047611,1.2514704898451008, 5361.502967537456,1.6146007437501738e-10
            -0.0006450573580184441,            -0.0009143601128271464,                1.5996159947001742,                    0.061683031264771405,                   -0.008612613708804145,        0.04611304900432419,        0.05621423253899903,                              0.0016546768356018593,                              0.0012664639635698027,                                        0.049648393044342,                                     0.003959935066785441,                                0.0018706485249702543,                               -0.0008464661455529911,                                        0.07718132667165913,                                        -0.0584236703279937, 5359.856456451804,1.2837701297243411, 5361.140226581528,1.0876801362710692e-10
            -0.0036430377776065907,             0.0013475715431764924,                 1.598695180546073,                      0.0562646127643672,                   -0.021897705992054872,        0.04184590646876017,        0.05260844441632695,                              0.0021579991681120597,                             -6.216700801907338e-05,                                      0.05236528152316266,                                   0.00016706172857756542,                               -0.0022384840598508376,                                 0.001758551739833282,                                        0.08730009795253521,                                       -0.06688349062774747, 5359.848764144937,1.3041747110642294, 5361.152938856002,1.0793454644151234e-10
            -0.0001823467437622322,               0.00333162856433675,                 1.599170677342408,                     0.05364821921973976,                   -0.002533885786249662,       0.048418184545361224,       0.050453991136381285,                              0.0002930457471109482,                             -0.0025781499164348187,                                      0.05547899553421745,                                    -0.004700707295321166,                                -0.000812012360443763,                                0.0015681802353270003,                                         0.0728131923967329,                                       -0.05201041585713962, 5360.973646368948,1.2520434525525923,   5362.2256898215, 3.324226548167087e-10
             6.336996856860418e-05,             0.0014945650547648177,                1.6025235933663242,                     0.05478593631423076,                   -0.008851309756494313,        0.04557011699133894,        0.05165195374854867,                               0.001685822140129939,                              0.0007335623261872926,                                     0.049759881942403376,                                     0.002079790888512029,                                0.0007093639182008174,                               0.00013003474054484198,                                        0.07104510750006345,                                       -0.05749689886907113, 5360.953640300414,1.2739313049048522, 5362.227571605319, 3.258382678619046e-10
            -0.0009530325462140624,             0.0007236180181815228,                1.5990860498061719,                     0.04514743423194443,                   -0.022716069151480806,        0.04207166413159329,        0.04752363876467142,                              0.0022974150152975242,                               0.002900537486638405,                                     0.055174988024889064,                                     0.004574916921956837,                                0.0002659749073038428,                                0.0011714165293854534,                                        0.08375700010151388,                                      -0.053050576163183365, 5359.946181398424,1.2997448450084153, 5361.245926243433,1.1897843347925023e-10
             -0.000812936950159795,             0.0012188543444572313,                1.6018102588790764,                     0.05559928340629804,                  -0.0010081442833345111,        0.04959546911791752,        0.05147110099717251,                              0.0013541682350800832,                             -0.0016361163611604834,                                     0.053586676420458085,                                   0.00045809225731110526,                               -0.0017629779191329332,                                0.0019978816595331455,                                        0.07276717986434884,                                       -0.03808394865584904,   5360.3912031155,1.2572505624953387, 5361.648453677995,1.8566871109747303e-10
