galaxies.lens.mass.centre.centre_0,galaxies.lens.mass.centre.centre_1,galaxies.lens.mass.einstein_radius,galaxies.lens.mass.ell_comps.ell_comps_0,galaxies.lens.mass.ell_comps.ell_comps_1,galaxies.lens.shear.gamma_1,galaxies.lens.shear.gamma_2,galaxies.lens.bulge.centre.centre_0,galaxies.lens.bulge.centre.centre_1,galaxies.lens.bulge.ell_comps.ell_comps_0,galaxies.lens.bulge.ell_comps.ell_comps_1,galaxies.lens.bulge.intensity,galaxies.lens.bulge.effective_radius,galaxies.lens.bulge.sersic_index,galaxies.source.bulge.centre.centre_0,galaxies.source.bulge.centre.centre_1,galaxies.source.bulge.ell_comps.ell_comps_0,galaxies.source.bulge.ell_comps.ell_comps_1,galaxies.source.bulge.intensity,galaxies.source.bulge.effective_radius,galaxies.source.bulge.sersic_index,    log_likelihood,         log_prior,     log_posterior,                weight
             -0.000791593589842443,             0.0010257166871038125,                1.6003161981227874,                     0.05080193284133053,                    0.001466132419279953,        0.05011386076072486,       0.048529189054473926,              -0.002407450244352039,              0.0005504828759452417,                      0.05761756541393818,                   0.00013435248866271177,           2.1543218928992562,                  0.5782521584677045,               2.920889306478254,               -0.0011939007934295468,                0.0008568942824079728,                         0.0833093496611577,                       -0.04575309683766626,              2.777612779241169,                   0.08928552865690915,                1.5957168666623918, 5342.324754133635,1.2090849651184417, 5343.533839098754, 1.510014794015074e-10
           -0.00014599605300707655,              0.000578138717426301,                1.6004724632654557,                    0.051117549377176386,                   -0.006343783082352977,       0.047055614531252996,        0.04985005386268587,              -0.001516123038947814,             -0.0010442409509408505,                     0.057743609465990164,                    0.0012236388039465543,            2.040464768877898,                  0.5961435905674035,              2.9495762210525496,                5.602368222416493e-05,               0.00029908211961778654,                        0.07314464895890453,                      -0.032526350466673265,              2.744067887938622,                   0.09314316413323499,                1.3324154403118604,  5342.89725671384,1.2297386190270736,5344.1269953328665, 2.676799938685883e-10
             0.0007425386435140841,              0.002617832475362503,                1.5986285366170587,                     0.04958330084341154,                  -0.0011304030954224081,        0.04873273070799279,        0.04817244662253424,              0.0015209857632315297,              0.0007277763927830438,                     0.055667084685719126,                     0.007072621676306727,            2.107353648337186,                  0.5850168443112281,              2.9760725392116325,               0.00013343563926663903,                0.0027100223300189387,                         0.0680640312192159,                       -0.05033344929832009,             2.7489027139524955,                   0.09240432972322203,                1.4709779531385552, 5342.094697909748,1.2133538332712714, 5343.308051743019,1.1996900409886007e-10
             -0.001006753959113983,            -0.0007900490858765482,                1.5987589772865887,                    0.053655608010883094,                   -0.011039309465492253,        0.04541939681334142,       0.051484963759044815,               0.002915539584772811,             -0.0011672789484055686,                     0.056102898420065495,                      0.00427153640853585,           2.1064788071002187,                  0.5855417198784838,              2.9716500930605294,                0.0010470010032977593,              -3.2126750442072875e-06,                        0.08535447298584849,                       -0.05738173666619986,             2.7860744167185882,                   0.09557725570598184,                1.1157647253374707, 5342.597126591327,1.2743171683599148, 5343.871443759686,1.9827641486576003e-10
           -0.00032487532216217326,             0.0017229669669213941,                 1.598282448335449,                     0.05295889606998558,                  -0.0013241125403101461,        0.04891775966833714,       0.050477020202979464,             -0.0003341892084294634,             -0.0005174736910701394,                     0.054334081683972205,                    0.0036455931912061784,            2.118120158722353,                  0.5814145046198753,               2.938686563680757,                0.0015630606216621226,                0.0007297047848827486,                          0.091178530487162,                       -0.04170407010078714,              2.807707076730677,                   0.09053326887145088,                1.6430900553729555, 5342.601472143862,1.2142923643742016,5343.8157645082365, 1.991399102666022e-10
             -0.000622737857210863,             0.0001733150058083332,                1.6014875486951958,                     0.05811868299796735,                   -0.019690940530024376,         0.0422316503758062,       0.054805873964005686,            -4.5502318315869986e-05,             -0.0015889916964978595,                      0.05450057227073102,                      0.00772862705288551,            2.115428696476554,                  0.5829722234933125,               2.960626330703152,               0.00035904503055619484,               -0.0008616815854810917,                        0.07955491424801092,                       -0.04523608822811995,              2.767366987584318,                   0.09806052994395323,                1.0601149382567452, 5341.997755505454,  1.28450130669293, 5343.282256812146, 1.088848613395944e-10
            -0.0007474166697953506,             0.0002879863886553205,                1.5986431935801189,                     0.05287587690360074,                   -0.008083054675167484,       0.046077601243279906,        0.05132631693705905,              0.0010378724650201708,             2.8623064092218854e-05,                     0.058629809692016845,                   0.00010156750043736201,           1.9944221549004773,                  0.5986824376057842,              3.0492597730924658,                -0.000212074801931481,               2.5359905728705783e-05,                        0.07104631970564877,                       -0.04841068397704021,              2.743590338347595,                   0.09244091087569299,                1.0956667050893605, 5342.684717629242,1.2751305200976997, 5343.959848149339,2.1642696138929065e-10
             -0.001753015336084178,            -0.0006237668233340386,                   1.5981405381139,                     0.04391572816928826,                   -0.014332406789491214,       0.044206618959389654,        0.04632007676465666,              -0.001087397753702072,             -0.0011170269747642501,                       0.0554217869309788,                    0.0003799478603707801,           2.0752516899620796,                  0.5902039705088062,              2.9545499873871264,               -0.0012484901268292653,               -0.0004975329680057971,                        0.07633159412791787,                      -0.050690710973565395,             2.7723996854472595,                   0.09582026736921964,                1.2114852698112142, 5342.706100473586,1.2684584427875714, 5343.974558916374,2.2110461799048567e-10
             -0.003574513198810714,            -0.0017485639623750046,                 1.599787213401867,                     0.05309995244969395,                   -0.008419999879229367,       0.045794025476483646,       0.051608748011074804,             -0.0019541166958680894,             0.00014800444109487298,                       0.0524191097240898,                     0.002362383073375718,            2.156716480613753,                  0.5777952327569577,              2.8967121039266077,               -0.0008401413879046927,               -0.0005449340520562272,                        0.07640278195242153,                      -0.056306200024740904,             2.7942028997336226,                   0.09477010097265505,                 1.378746934159432, 5341.970177934721,1.2426487127928045, 5343.212826647514,1.0592310805878729e-10
            -0.0006302071216218634,             0.0013252116180733349,                1.5989975396652616,                    0.058795749431244076,                   -0.007892929869092027,        0.04640900445570156,        0.05350704022246144,              0.0006508694016036592,              -0.002054976534260497,                      0.05794629138335766,                     0.006093415096814658,           2.1020677151071676,                  0.5867210566949048,               2.969435823532396,               -0.0002730729818524006,                   0.0015400785143933,                        0.04938261008021557,                       -0.04771757110056585,             2.7125502967485384,                   0.09505398495088414,                1.2450294259455987, 5342.928936138795,1.2404652665908416,5344.1694014053855,2.7629569178664136e-10
            -0.0007211727494197029,             -0.000949887198549341,                1.5996241372594573,                     0.05086759376753755,                   -0.015031294111590321,         0.0428204657001119,       0.049602585929856294,             -0.0011603002903708864,              0.0009245643988729928,                      0.05798916874078062,                   -0.0035108313762678284,            2.183625932633687,                  0.5740213725115053,              2.8941641755556016,               -0.0007739391584206519,                4.446644255207559e-05,                        0.08379515796255445,                      -0.037623978341963155,              2.719155292705262,                   0.09888173045026068,                1.1662016128143788, 5342.407452232746,1.2566171993628963,5343.6640694321095,1.6401989529476335e-10
            -0.0025474062562862495,             -0.001370435296944074,                1.5995670784705665,                     0.05432901298149041,                    0.002191321607967936,       0.050419413571259425,         0.0497202921563327,             -0.0020224037954724946,              -0.000558011205548779,                     0.056246067917593526,                    -0.001551252246722569,           2.1176572464575933,                  0.5834706537152221,              2.9415863883923388,                 -0.00180083148933558,                -0.001346475626563235,                        0.08721971787928817,                      -0.054172092352099965,              2.778682325892301,                   0.08855213611919716,                 1.636635724393573,5342.5758806941685,1.2385146492708217, 5343.814395343439, 1.941082891178125e-10
             0.0002659133167878269,             0.0013147103906537211,                 1.598458571156912,                    0.048918498754905115,                   -0.015009926984726182,        0.04334365727347444,       0.048067855437498364,             -0.0007294372027413298,              0.0012731665177025692,                      0.05728085117781173,                    0.0006557222613262498,           2.0672468405469595,                  0.5866452543176708,              3.0030339558871995,              -2.7343487931128182e-05,                0.0016174384811020858,                        0.06587992427519022,                       -0.05145093945007578,              2.718476274684318,                   0.09814009641648125,                1.1572710500266477, 5342.921506575236,1.2803627553920487, 5344.201869330628,  2.74250542075832e-10
             0.0013401093790539858,             0.0009558213842952433,                1.6016772440150124,                     0.05335547348239026,                    -0.02477714697038287,       0.039597151929302146,       0.051914284262292124,            -0.00030061249858936713,              0.0014077254333832374,                      0.05165882448891206,                    0.0027159452253265742,            2.094753011614789,                  0.5860444917159866,               2.950150871647315,                0.0010661143630626717,                0.0011696472137006455,                        0.08055221582150675,                        -0.0350825687930873,             2.7294014805142344,                   0.10252816234706195,                1.0457368001568317, 5343.898632302289,1.2961512159916462, 5345.194783518281,2.1319720142121686e-10
             -0.004423658689407677,              0.001123919672335771,                1.5999438306077842,                     0.05788742319720406,                 -0.00019387973849463447,        0.04836108358200891,        0.05253440215158355,              0.0012425672981012565,             -0.0014406214993765145,                      0.05218285933616748,                    0.0031694521977633505,           2.2196625905098184,                  0.5694650910732253,               2.889651862007143,               -0.0024987845156861123,                0.0009992615976433695,                        0.06665578360794688,                       -0.05393261002679117,             2.7195390635409638,                    0.0943441212583552,                1.6092939577889893, 5343.343719006811,1.2104500736119808, 5344.554169080423,1.2240121177906765e-10
             0.0010366376344734132,              0.002922540914121388,                 1.599289324379407,                      0.0526759875138246,                   -0.004484641636774062,        0.04811782861943773,       0.050392353926123415,              -0.001133055001151305,              0.0005148411381089164,                      0.05267190077906381,                   -0.0012093413684990395,            2.096532023913525,                  0.5850062523858608,              2.9922418383151705,                0.0007192248382549386,                0.0028076992700575725,                        0.04737354325824693,                       -0.03475696340622769,              2.727503834678629,                   0.09440727713800037,                1.3159062655222047, 5345.624047269692,1.1989664524782049,  5346.82301372217,1.1970704185984658e-09
